[2026-05-06 09:22:21,484] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.52
[2026-05-06 09:22:21,484] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:22:31,795] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.5
[2026-05-06 09:22:31,795] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:22:42,159] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.46
[2026-05-06 09:22:42,159] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:22:52,518] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.42 | VEL: 0.39
[2026-05-06 09:22:52,518] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:23:02,888] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.43
[2026-05-06 09:23:02,889] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:23:13,236] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.42 | VEL: 0.41
[2026-05-06 09:23:13,236] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:23:23,550] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.43
[2026-05-06 09:23:23,552] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:23:33,885] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.42 | VEL: 0.41
[2026-05-06 09:23:33,885] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:23:44,233] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.43
[2026-05-06 09:23:44,233] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:23:54,554] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.43
[2026-05-06 09:23:54,554] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:24:04,902] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.48
[2026-05-06 09:24:04,902] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:24:15,225] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.45
[2026-05-06 09:24:15,225] INFO:  >> [GUARD] EURUSD position already active. Skipping.
